movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20249187,이자카야 여사장들 : 오늘 몸보신 할래요?,,2024,20240406,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20248550,섹스 봇 선녀,,2024,20240405,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로)
20247416,니남편 잘하더라,,2024,20240405,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248673,너무 야한 거유 형수,While He Got Drunk,2022,20240404,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20249119,여친의 엄마와 그리고 남친의 삼촌과,,2023,20240402,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247516,부부교환 : 자매의 스와핑,,2023,20240402,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20249767,신도시 엄마들 II,,2024,20240419,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248513,바람의 세월,SEWOL: Years in the Wind,2024,20240403,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20248874,유부녀라 더 끌리는 섹스 파트너,,2024,20240418,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248862,강제로 당하고 싶은 아줌마,,2024,20240418,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20234731,갓랜드,Godland,2022,20240228,장편,개봉,"덴마크,아이슬란드,프랑스,스웨덴",드라마,덴마크,드라마
20247515,올 더 네임즈 오브 갓 ,ALL THE NAMES OF GOD,2023,20240417,장편,개봉,헝가리,"액션,드라마",헝가리,액션
20249014,아서,ARTHUR THE KING,2024,20240417,장편,개봉,미국,"어드벤처,드라마",미국,어드벤처
20248403,브레이브 온 파이어,On Fire ,2023,20240417,장편,개봉,미국,"액션,드라마",미국,액션
20227657,돌들이 말할 때까지,Until the Stones Speak,2022,20240417,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20234609,극장판 울려라! 유포니엄: 앙상블 콘테스트,Sound! Euphonium Ensemble Contest,2023,20240417,장편,개봉,일본,애니메이션,일본,애니메이션
20248466,고스트버스터즈: 오싹한 뉴욕,Ghostbusters: Frozen Empire ,2023,20240417,장편,개봉,미국,"액션,어드벤처",미국,액션
20247784,8인의 용의자들,8 Suspects,2024,20240417,장편,개봉,한국,"드라마,미스터리,범죄",한국,드라마
20247294,골드핑거,The Goldfinger,2023,20240410,장편,개봉,홍콩,"범죄,액션",홍콩,범죄
20248655,사랑은 빛,Love is Light,2022,20240416,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20248551,뺏길 수 없어 새엄마,,2024,20240412,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로)
20248873,육덕녀 신고식,,2024,20240411,장편,개봉,한국,성인물(에로),한국,성인물(에로)
